Subject,Course,Session,Year,Description,Primary Resources,Additional Resources
Philosophy,Introduction to Philosophy,Session 7,2027,"Key philosophical questions and methods of inquiry","Introduction to Philosophy (University of Edinburgh) (https://www.coursera.org/learn/philosophy), General Philosophy (University of Oxford) (https://www.youtube.com/playlist?list=PLKuMaHOvHA4pl2k1JNikMzccot_Y_vlYm)","Introduction to Political Philosophy (Yale University) (https://oyc.yale.edu/political-science/plsc-114), Introduction to Philosophy: God, Knowledge and Consciousness (MITx) (https://mitxonline.mit.edu/courses/course-v1:MITxT+24.00x/)"
Philosophy,Ethics,Session 7,2027,"Moral theories, ethical dilemmas, and decision-making frameworks","","Resources to be determined"
Philosophy,Logic,Session 7,2027,"Propositional logic, argument analysis, and formal reasoning","","Resources to be determined"
Philosophy,History of Ancient Philosophy,Session 8,2028,"Pre-Socratic to Hellenistic philosophers","","Resources to be determined"
Philosophy,Political Philosophy,Session 8,2028,"Justice, liberty, and the role of the state","","Resources to be determined"
Philosophy,Philosophy of Mind,Session 8,2028,"Consciousness, identity, and the nature of thought","","Resources to be determined"
Physics,Classical Mechanics,Session 1,2025,"Newtonian mechanics, motion in one and two dimensions, energy, momentum, and rotational dynamics","MIT OpenCourseWare: 8.01SC Classical Mechanics (https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/), Yale Open Yale Courses: PHYS 200 - Fundamentals of Physics I (https://oyc.yale.edu/physics/phys-200)","Stanford: Classical Mechanics by Prof. Leonard Susskind (https://theoreticalminimum.com/courses/classical-mechanics/2011/fall)"
Physics,Electromagnetism,Session 2,2026,"Electric fields, magnetic fields, circuits, and Maxwell's equations","MIT OpenCourseWare: Physics II: Electricity and Magnetism (https://ocw.mit.edu/courses/8-02-physics-ii-electricity-and-magnetism-spring-2019/), Coursera: Introduction to Electricity and Magnetism Specialization (https://www.coursera.org/specializations/introduction-to-electricity-magnetism)","Dr. Andrew Mitchell's Electromagnetism Lecture Series (https://www.youtube.com/playlist?list=PLotxEOxVaaoLMvrDSSr_nsQDiKcVu8d7u)"
Physics,General Chemistry,Session 9,2028,"Atomic structure, chemical bonding, and reactions","","Resources to be determined"
Physics,Introduction to Computer Programming,Session 9,2028,"Programming basics, algorithms, and applications in physics","","Resources to be determined"
Sociology,Introduction to Sociology,Session 5,2027,"Key sociological theories, social structures, and cultural dynamics","Foundations of Modern Social Theory (Yale University) (https://oyc.yale.edu/sociology/socy-151/lecture-1), Introduction to Sociology (Alison) (https://alison.com/course/introduction-to-sociology)","Introduction to Sociology (NPTEL) (https://www.nptelvideos.com/course.php?id=634), Introduction to Sociology Lectures (YouTube Playlist) (https://www.youtube.com/playlist?list=PLtMRjzg3I_PURIs_sqg4Dj_CWeHcj0ydF)"
Sociology,Social Problems,Session 5,2027,"Contemporary societal issues such as inequality, crime, and health","Social Problems: Who Makes Them? (The Open University) (https://www.open.edu/openlearn/society-politics-law/sociology/social-problems-who-makes-them/content-section-0), Understanding and Solving Poverty and Inequality (FutureLearn) (https://www.futurelearn.com/courses/understanding-and-solving-social-problems)","Sociology: Social Issues and Change (Alison) (https://alison.com/course/sociology-social-issues-and-change), Solving Public Problems (NYU GovLab) (https://blog.thegovlab.org/post/this-free-online-class-will-teach-anyone-how-to-solve-societal-problems), Social Psychology (UC Berkeley) (https://freevideolectures.com/course/3591/social-psychology)"
Sociology,Research Methods in Sociology,Session 5,2027,"Quantitative and qualitative research, survey design, and data collection","Understanding Research Methods (SOAS University of London) (https://www.coursera.org/learn/research-methods), Qualitative Research Methods (University of Amsterdam) (https://www.coursera.org/learn/qualitative-methods)","Methods and Statistics in Social Sciences Specialization (University of Amsterdam) (https://www.coursera.org/specializations/social-science), Introduction to Social Research Methods (The University of Edinburgh) (https://www.edx.org/learn/research/the-university-of-edinburgh-introduction-to-social-research-methods)"
Sociology,Sociological Theory,Session 6,2027,"Classical and contemporary sociological theories","Foundations of Modern Social Theory (Yale University) (https://oyc.yale.edu/sociology/socy-151), Classical Sociological Theory (University of Amsterdam) (https://www.coursera.org/learn/classical-sociological-theory)","Sociological Theory (Yale University YouTube Playlist) (https://www.youtube.com/playlist?list=PL37FC9556148B7E1F)"
Sociology,Cultural Anthropology,Session 6,2027,"Human cultures, traditions, and practices across societies","ANTH101: Anthropology for Everyone (https://anth101.com/), Diploma in Cultural Anthropology (Alison) (https://alison.com/course/diploma-in-cultural-anthropology)","Introduction to Anthropology (MIT OpenCourseWare) (https://ocw.mit.edu/courses/21a-00-introduction-to-anthropology-spring-2022/)"
Sociology,Statistics for Social Sciences,Session 6,2027,"Data analysis and interpretation for social science research","Methods and Statistics in Social Sciences Specialization (University of Amsterdam) (https://www.coursera.org/specializations/social-science), Data Analysis for Social Scientists (MIT OpenCourseWare) (https://ocw.mit.edu/courses/14-310x-data-analysis-for-social-scientists-spring-2023/)","Basic Statistics (University of Amsterdam) (https://www.coursera.org/learn/basic-statistics), Statistics and Probability (Khan Academy) (https://www.khanacademy.org/math/statistics-probability)"
